iter	Passed	Remaining
834	4712	931
835	4718	925
836	4723	919
837	4729	914
838	4735	908
839	4740	903
840	4746	897
841	4752	891
842	4758	886
843	4764	880
844	4770	875
845	4777	869
846	4782	863
847	4788	858
848	4793	852
849	4799	847
850	4804	841
851	4810	835
852	4816	830
853	4821	824
854	4828	818
855	4834	813
856	4839	807
857	4845	801
858	4851	796
859	4857	790
860	4862	785
861	4868	779
862	4874	773
863	4880	768
864	4886	762
865	4892	757
866	4898	751
867	4903	745
868	4909	740
869	4914	734
870	4919	728
871	4925	722
872	4930	717
873	4936	711
874	4941	705
875	4948	700
876	4953	694
877	4959	689
878	4964	683
879	4970	677
880	4975	672
881	4981	666
882	4987	660
883	4992	655
884	4998	649
885	5004	643
886	5009	638
887	5015	632
888	5021	626
889	5027	621
890	5033	615
891	5039	610
892	5045	604
893	5051	598
894	5056	593
895	5063	587
896	5068	582
897	5075	576
898	5081	570
899	5086	565
900	5092	559
901	5097	553
902	5103	548
903	5108	542
904	5114	536
905	5119	531
906	5124	525
907	5130	519
908	5136	514
909	5142	508
910	5147	502
911	5152	497
912	5158	491
913	5164	485
914	5170	480
915	5175	474
916	5181	468
917	5187	463
918	5192	457
919	5198	452
920	5204	446
921	5210	440
922	5216	435
923	5221	429
924	5226	423
925	5232	418
926	5237	412
927	5243	406
928	5249	401
929	5254	395
930	5260	389
931	5265	384
932	5270	378
933	5276	372
934	5281	367
935	5287	361
936	5292	355
937	5298	350
938	5303	344
939	5309	338
940	5315	333
941	5320	327
942	5326	321
943	5331	316
944	5336	310
945	5341	304
946	5346	299
947	5351	293
948	5357	287
949	5362	282
950	5367	276
951	5372	270
952	5378	265
953	5383	259
954	5388	253
955	5393	248
956	5399	242
957	5404	236
958	5409	231
959	5415	225
960	5421	220
961	5426	214
962	5431	208
963	5436	203
964	5441	197
965	5446	191
966	5451	186
967	5456	180
968	5462	174
969	5467	169
970	5473	163
971	5478	157
972	5483	152
973	5488	146
974	5493	140
975	5498	135
976	5504	129
977	5508	123
978	5513	118
979	5519	112
980	5524	106
981	5529	101
982	5534	95
983	5539	90
984	5545	84
985	5550	78
986	5555	73
987	5560	67
988	5565	61
989	5570	56
990	5576	50
991	5582	45
992	5588	39
993	5593	33
994	5599	28
995	5604	22
996	5609	16
997	5614	11
998	5620	5
999	5626	0
